PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40625850,Lung cancer vaccine strategies: exploring the spectrum from traditional to RNA-based platforms.,2025,,,
40625772,A case of autoimmune hemolytic anemia with cold agglutinin disease post-operation for recurrent ovarian cancer.,2025 Jul,,,
40625764,Metastatic urachal carcinoma treated with trifluridine/tipiracil and bevacizumab: a case report.,2025 Jul,,,
40625762,Hydrogel spacer infection during prostate cancer radiotherapy: a case report of successful abscess management through radical prostatectomy.,2025 Jul,Oshiro H; Miyazaki Y; Kakehi T; Hirano M; Hama Y; Kanzawa M; Kanamaru S,"Department of Urology, Kobe City Nishi-Kobe Medical Center, 7-1 Kojidai, 5-Chome Nishi-Ku, Kobe, Hyogo 651-2273 Japan. ROR: https://ror.org/02mvsxw13. GRID: grid.416289.0. ISNI: 0000 0004 1772 3264; Department of Urology, Kobe City Nishi-Kobe Medical Center, 7-1 Kojidai, 5-Chome Nishi-Ku, Kobe, Hyogo 651-2273 Japan. ROR: https://ror.org/02mvsxw13. GRID: grid.416289.0. ISNI: 0000 0004 1772 3264; Department of Urology, Kobe City Nishi-Kobe Medical Center, 7-1 Kojidai, 5-Chome Nishi-Ku, Kobe, Hyogo 651-2273 Japan. ROR: https://ror.org/02mvsxw13. GRID: grid.416289.0. ISNI: 0000 0004 1772 3264; Department of Urology, Kobe City Nishi-Kobe Medical Center, 7-1 Kojidai, 5-Chome Nishi-Ku, Kobe, Hyogo 651-2273 Japan. ROR: https://ror.org/02mvsxw13. GRID: grid.416289.0. ISNI: 0000 0004 1772 3264; Department of Urology, Kobe City Nishi-Kobe Medical Center, 7-1 Kojidai, 5-Chome Nishi-Ku, Kobe, Hyogo 651-2273 Japan. ROR: https://ror.org/02mvsxw13. GRID: grid.416289.0. ISNI: 0000 0004 1772 3264; Department of Pathology, Kobe City Nishi-Kobe Medical Center, Kobe, Hyogo Japan. ROR: https://ror.org/02mvsxw13. GRID: grid.416289.0. ISNI: 0000 0004 1772 3264; Department of Urology, Kobe City Nishi-Kobe Medical Center, 7-1 Kojidai, 5-Chome Nishi-Ku, Kobe, Hyogo 651-2273 Japan. ROR: https://ror.org/02mvsxw13. GRID: grid.416289.0. ISNI: 0000 0004 1772 3264",
40625757,Cancer genome profiling of prostate cancer identifies a patient with a novel EFNA1-NTRK1 fusion gene.,2025 Jul,,,
40625736,BRICS sequential therapeutic regimen as first-Line treatment for PD-L1-negative metastatic non-small cell lung cancer patients harboring EGFR/ALK wild-type status: a retrospective study.,2025,,,
40625735,Co-expression of IL-15/IL-15Ra complex enhances NKG2D-CAR T cell-mediated anti-pancreatic cancer immunity by activating the JAK/STAT5 signaling pathway.,2025,,,
40625731,The tumor microenvironment across four dimensions: assessing space and time in cancer biology.,2025,,,
40625678,Preclinical models of mitochondrial dysfunction: mtDNA and nuclear-encoded regulators in diverse pathologies.,2025,,,
40625666,Tracheoesophageal Fistula Following Chemoradiation and Esophagectomy in Esophageal Adenocarcinoma: A Fatal Complication.,2025 Jul,,,
40625661,Microbubble-Templated Immunoactive Metal-Phenolic Capsules for Drug Delivery and Enhanced Cancer Immunotherapy.,2025,,,
40625660,Daurisoline Modulates the TBK1-Dependent Type I Interferon Pathway to Boost Anti-tumor Immunity via Targeting of LRP1.,2025,,,
40625606,Thymol Enhances 5-Fluorouracil Cytotoxicity by Reducing Migration and Increasing Apoptosis and Cell Cycle Arrest in Esophageal Cancer Cells: An In-vitro Study.,2025 Jul,,,
40625591,Underserved Patient Populations With Metastatic Breast Cancer: A Review of Progress and Remaining Challenges.,2025,Cardoso F; Haidinger R; Lambertini M; Valenti EL; Criscitiello C; Vrdoljak E,"Advanced Breast Cancer Global Alliance, Lisbon, Portugal.; Advanced Breast Cancer Global Alliance, Lisbon, Portugal.; German Breast Cancer Association, Hohenbrunn, Germany.; Department of Medical Oncology, Ospedale Policlinico San Martino, Genoa, Italy.; SHARE Cancer Support, New York, New York, USA.; Department of Medical Oncology, Genolier Cancer Center, Genolier, Switzerland.",
40625540,Long-Term Survival after Choroidal Metastasis Following Colorectal Cancer Surgery: A Case Report.,2025,,,
40625539,Successful Conversion Surgery for Unresectable Microsatellite Instability-High Pancreatic Tail Cancer Following Pembrolizumab Therapy.,2025,,,
40625505,"Knowledge, Attitudes, and Treatment Protocols for Helicobacter pylori Infection Among General Practitioners in Primary Healthcare Centers in Riyadh, Saudi Arabia.",2025 Jun,,,
40625412,"Copper(ii) chelates of a coumarin-based acyl hydrazone ligand: structural characterization and computational evaluations for prospective applications in antimicrobial, antiviral, antioxidant, and anticancer therapies.",2025 Jun 30,,,
40625405,Dynamic crosstalk between amino acid metabolism and cancer drug efficacy: From mechanisms to therapeutic opportunities.,2025 May 16,,,
40625399,Real-World Efficacy and Safety of S-1 Monotherapy in Non-Small Cell Lung Cancer Management: Insights From a Multicenter Retrospective Cohort Study.,2025,,,
40625398,WD40 Protein NLE1 as a Novel Diagnostic Biomarker Promoting Hepatocellular Carcinoma Proliferation.,2025,,,
40625291,Decoding the immune microenvironment of secondary chronic myelomonocytic leukemia due to DLBCL with CD19 CAR-T failure by single-cell RNA-seq.,2025 Jul 7,,,
40625219,Ganoderma Spore Lipids Inhibit Perineural Invasion in Pancreatic Cancer by Downregulating NGF-TrkA Pathway.,2025 Jan-Dec,,,
40625203,Mosunetuzumab-associated fatal HHV-6 encephalitis in a patient with follicular lymphoma.,2025 Jul 8,Samperio VM; Hamoud M; Dasanu CA,"Department of Medicine, Eisenhower Health, Rancho Mirage, CA, USA. RINGGOLD: 6802; Department of Medicine, Eisenhower Health, Rancho Mirage, CA, USA. RINGGOLD: 6802; Lucy Curci Cancer Center, Eisenhower Health, Rancho Mirage, CA, USA. RINGGOLD: 6802",
40625198,Fn14-Targeted Gold Nanorods for Augmenting Laser Thermal Therapy for High-Grade Gliomas.,2025 Jul 8,,,
40625159,Dual-Drug Loaded gamma-Polyglutamic Acid Hydrogel with Hydrophilic Doxorubicin and Hydrophobic Camptothecin for Enhanced Tumor Therapy.,2025 Jul 8,,,
40625156,Bioactives and Nanocarriers: Merging Frontiers in Cancer Therapy.,2025 Jul 8,,,
40625124,Treatment of biochemical recurrence after primary therapy with curative intent.,2025 Jul 8,,,
40625123,What's in a name? Why differentiation between biochemical recurrence and metastatic prostate cancer matters.,2025 Jul 8,,,
40625116,"Invasive Fungal Disease in Solid Organ and Hematopoietic Cell Transplant Recipients, United States.",2025 Jul 8,Gold JAW; Benedict K; Sajewski E; Chiller T; Lyman M; Toda M,"Mycotic Diseases Branch, CDC, Atlanta, Georgia, USA.; Mycotic Diseases Branch, CDC, Atlanta, Georgia, USA.; Mycotic Diseases Branch, CDC, Atlanta, Georgia, USA.; Mycotic Diseases Branch, CDC, Atlanta, Georgia, USA.; Mycotic Diseases Branch, CDC, Atlanta, Georgia, USA.; Mycotic Diseases Branch, CDC, Atlanta, Georgia, USA.",
40625098,Prognostic Impact of Cytomegalovirus Reactivation After Transplantation From Cord Blood Compared to Other Donor Sources in Patients With Adult T-Cell Leukemia/Lymphoma in the Pre-Letermovir Era.,2025 Jul 8,Kawakita T; Atsuta Y,"Department of Hematology, NHO Kumamoto Medical Center, Kumamoto, Japan.; Japanese Data Center for Hematopoietic Cell Transplantation, Nagakute, Japan.",
40625078,Comparison of standard and biweekly trifluridine/tipiracil plus bevacizumab regimens in advanced or recurrent colorectal cancer: a retrospective study.,2025 Jul 8,,,
40625039,The caregiver's journey: A qualitative study on the integration of family caregivers of advanced cancer patients in outpatient settings in Germany.,2025 Jul 8,Zyumbileva P; Goerling U; Letsch A; Rose M; von Kalle C,"Clinical Study Center (CSC) of Charite and BIH, Charite - Universitatsmedizin Berlin, Berlin, Germany.; Department of Psychosomatic Medicine, Charite - Universitatsmedizin Berlin, Berlin, Germany.; Charite Comprehensive Cancer Center, Charite - Universitatsmedizin Berlin, Berlin, Germany.; Department of Psychosomatic Medicine, Charite - Universitatsmedizin Berlin, Berlin, Germany.; Department of Psychiatry and Neuroscience, Charite - Universitatsmedizin Berlin, Berlin, Germany.",
40624979,Exploring opioid management challenges in chronic non-cancer pain: findings from a mixed-methods study among general practitioners in Germany.,2025 Jun 4,,,
40624969,Electrochemotherapy for Anorectal Tumors: A Narrative Literature Review.,2025 Jan-Dec,Ferioli M; Cilla S; Tolento G; Cuicchi D; Buwenge M; Rottoli M; Poggioli G; Morganti AG,"Radiation Oncology, Azienda Ospedaliero-Universitaria di Ferrara, Ferrara, Italy. RINGGOLD: 18560; Radiation Oncology, IRCCS Azienda Ospedaliero-Universitaria di Bologna, Bologna, Italy.; Radiation Oncology, IRCCS Azienda Ospedaliero-Universitaria di Bologna, Bologna, Italy.; Radiation Oncology, IRCCS Azienda Ospedaliero-Universitaria di Bologna, Bologna, Italy.; Surgery of the Alimentary Tract, IRCCS Azienda Ospedaliero-Universitaria di Bologna, Bologna, Italy.; Radiation Oncology, IRCCS Azienda Ospedaliero-Universitaria di Bologna, Bologna, Italy.; UOC di Radioterapia Oncologica, Dipartimento Diagnostica per Immagini, Radioterapia Oncologica ed Ematologia, Fondazione Policlinico Universitario Agostino Gemelli IRCCS, Roma, Italy. RINGGOLD: 18654; UOC di Radioterapia Oncologica, Dipartimento Diagnostica per Immagini, Radioterapia Oncologica ed Ematologia, Fondazione Policlinico Universitario Agostino Gemelli IRCCS, Roma, Italy. RINGGOLD: 18654",
40624920,Timely integration of palliative care into standard oncology care: An interview study with clinicians and patients with incurable cancer.,2025 Jul 8,Heipon CS; Dingemans I; Reyners AKL,"Department of Research & Development, Netherlands Comprehensive Cancer Organisation (IKNL), Utrecht, the Netherlands.; Department of Research & Development, Netherlands Comprehensive Cancer Organisation (IKNL), Utrecht, the Netherlands.; Quality of Care, Dutch Federation of Cancer Patients Organisations, Utrecht, the Netherlands.",
40624917,Isolated Ileocecal Metastasis from Lobular Carcinoma of the Breast: A Case Report.,2025 Jul 8,,,
40624894,Cold-Adapted Nanozymes.,2025 Jul 7,,,
40624839,Novel approaches for the discovery of pharmacogenetic biomarkers of chemotoxicity in patients with colorectal cancer.,2025 Jul 7,Simoes AR; Carles Gonzalez S; Lopez-Fernandez L; Castells A; Ruiz Ponte C; Fernandez-Rozadilla C,"Instituto de Investigacion Sanitaria de Santiago (IDIS), Santiago de Compostela, Spain.; Instituto de Investigacion Sanitaria de Santiago (IDIS), Santiago de Compostela, Spain.; Center for Biomedical Research in Network on Rare Diseases (CIBERER), Instituto de Salud Carlos III, Madrid, Spain.; Biomedical Research Center in Network of Epidemiology and Public Health, Consortium (CIBERESP), Instituto de Salud Carlos III, Madrid, Spain.; Instituto de Investigacion Sanitaria Gregorio Maranon, Madrid, Spain.; Universidad Europea de Madrid, Faculty of Medicine, Health and Sports, Madrid, Spain.",
40624835,"Drugging the 'undruggable' KRAS: breakthroughs, challenges, and opportunities in pancreatic cancer.",2025 Jul 7,,,
40624821,Risk Stratification for Diffuse Large B-Cell Lymphoma by Integrating Interim (18)F-FDG PET-CT Analysis and the NCCN-IPI: A Multicenter Retrospective Study.,2025 Jul,Lin M; Ye X; Zhang H,"Kindstar Biotech, Wuhan, China.; Kindstar Biotech, Wuhan, China.; Kindstar Biotech, Wuhan, China.",
40624807,Comparison of Random Survival Forest Based-Overall Survival With Deep Learning and Cox Proportional Hazard Models in HER-2-Positive HR-Negative Breast Cancer.,2025 Jul,,,
40624747,Early-onset gastrointestinal cancers: comprehensive review and future directions.,2025 Jul 3,,,
40624712,Higher plasma AFB1 concentration is associated with increased risk of HPV 16 and HPV 18 detection and persistence among Ugandan women.,2025 Jul 7,Burke S; Ermel A,"Academic Model Providing Access to Healthcare (AMPATH), Eldoret, Kenya.; Academic Model Providing Access to Healthcare (AMPATH), Eldoret, Kenya.",
40624665,"Health disorders in menopausal women: microbiome alterations, associated problems, and possible treatments.",2025 Jul 7,,,
40624659,One step further in targeting acute leukemia by combining antibody-based immunotherapies and small molecule inhibitors.,2025 Jul 7,,,
40624638,Mitigation of chemotherapy-induced gut dysbiosis and diarrhea by supplementation with heat-killed Bacteroides fragilis.,2025 Jul 7,Zheng L; Liu Y; Lin Y; Wang W; Li P,"Guangzhou ZhiYi Biotechnology Co. Ltd, Guangzhou, 510530, China.; Guangzhou ZhiYi Biotechnology Co. Ltd, Guangzhou, 510530, China.; Guangzhou ZhiYi Biotechnology Co. Ltd, Guangzhou, 510530, China.; Guangzhou ZhiYi Biotechnology Co. Ltd, Guangzhou, 510530, China.; Guangzhou ZhiYi Biotechnology Co. Ltd, Guangzhou, 510530, China.",
40624630,Clinical outcomes and prognostic factors in multiple primary malignancies involving oral cancer.,2025 Jul 7,Tang S; Li K; Liao G,"Guangdong Provincial Clinical Research Center of Oral Diseases, No. 74, 2nd Zhongshan Road, Guangzhou, Guangdong, 510080, China.; Guangdong Provincial Clinical Research Center of Oral Diseases, No. 74, 2nd Zhongshan Road, Guangzhou, Guangdong, 510080, China.; Guangdong Provincial Clinical Research Center of Oral Diseases, No. 74, 2nd Zhongshan Road, Guangzhou, Guangdong, 510080, China.",
40624624,Integrated analysis of polytranscriptomics reveals TNFSF ligand genes in pancreatic cancer prognosis and immune regulation.,2025 Jul 7,,,
40624619,Evaluating cell-free DNA integrity index as a non-invasive biomarker for neoadjuvant chemotherapy in colorectal cancer patients.,2025 Jul 8,,,
40624598,A genome-wide association study integrated with single-cell and bulk profiles uncovers susceptibility genes for nasopharyngeal carcinoma involved in tumorigenesis via regulation of T cells.,2025 Jul 7,Yang DW; Mai HQ,"Wuzhou Cancer Center, Wuzhou, Guangxi, China.; Wuzhou Cancer Center, Wuzhou, Guangxi, China.",
40624569,Recent advances and challenges of cellular immunotherapies in lung cancer treatment.,2025 Jul 7,,,
40624549,Evaluation of the changes in hydrogel spacer volume in patients treated with proton therapy for prostate cancer.,2025 Jul 7,Shinohara Y; Higashikawa T; Yamamoto M,"Department of Radiology, Osaka Proton Therapy Clinic, 1-27-9 Kasugade naka, Osaka konohana-ku, Osaka, 554-0022, Japan.; Department of Radiology, Osaka Proton Therapy Clinic, 1-27-9 Kasugade naka, Osaka konohana-ku, Osaka, 554-0022, Japan.; Department of Radiology, Osaka Proton Therapy Clinic, 1-27-9 Kasugade naka, Osaka konohana-ku, Osaka, 554-0022, Japan.",
40624547,Impact of SGLT2 inhibitors on myocardial fibrosis in diabetic HFpEF: a longitudinal study.,2025 Jul 8,Al-Rahman MT; Basouni A,"Department of Family Medicine, Al-Khuwair Health Center, Muscat, Oman.; Department of Cardiology, Sultan Qaboos Comprehensive Cancer Care and Research Centre, Muscat, Oman.",
40624533,The variation of coverage and access to palliative care for cancer patients in eight European countries: an exploratory vignette approach.,2025 Jul 7,Shuftan N; Dayan M; Scobie S; Wee B; Kohler K; Kahur K; Axelsson B; Aggarwal A; Panteli D,"Department of Healthcare Management, Technische Universitat Berlin, H 80, Strasse Des 17. Juni 135, Berlin, 10623, Germany. nathan.shuftan@tu-berlin.de.; European Observatory On Health Systems and Policies, WHO European Centre for Health Policy, Eurostation (Office 07C020), Place Victor Horta/Victor Hortaplein, 40/10, 1060, Brussels, Belgium. nathan.shuftan@tu-berlin.de.; Nuffield Trust, 59 New Cavendish Street, London, W1G 7LP, UK.; Nuffield Trust, 59 New Cavendish Street, London, W1G 7LP, UK.; WHO Barcelona Office for Health Systems Financing, Sant Pau Art Nouveau Site (La Merce Pavilion), Sant Antoni Maria Claret, 167, Barcelona, 08025, Spain.; WHO Country Office, Paldiski Road 81, Tallinn, 10617, Estonia.; HC Management Consulting Ltd, Tallinn, Estonia.; Netherlands Comprehensive Care Organisation (IKNL), Godebaldkwartier 419, Utrecht, DT, 3511, The Netherlands.; European Observatory On Health Systems and Policies, WHO European Centre for Health Policy, Eurostation (Office 07C020), Place Victor Horta/Victor Hortaplein, 40/10, 1060, Brussels, Belgium.",
40624511,Decitabine regulates the resistance of HCC to sorafenib through demethylation.,2025 Jul 7,Cui T; Wang X,"Biohit Healthcare (Hefei) Co., Ltd, Hefei, 2300000, China.; Hefei Tianhui Biotechnology Co., Ltd, Hefei, 230000, China. cuitao0909@126.com.",
40624498,"Advancing CAR-based cell therapies for solid tumours: challenges, therapeutic strategies, and perspectives.",2025 Jul 7,,,
40624490,Synergizing sono-piezo with exosome suppression using doping-engineered hydroxyapatite for potentiated tumor treatment through immunoactivation.,2025 Jul 8,,,
40624474,HIVGenoPipe: a nextflow pipeline for the detection of HIV-1 drug resistance using a real-time sample-specific reference sequence.,2025 Jul 7,,,
40624460,Clinicopathologic and prognosis of 30 patients with FH-deficient renal cell carcinoma: a single-center retrospective study.,2025 Jul 7,,,
40624451,A 40-year-old woman with early-stage triple-negative breast cancer and a retinal lesion.,2025 Jul 7,,,
40624429,Real-world trends in the use and outcomes of novel androgen receptor signaling inhibitor therapy in patients with non-metastatic castration-resistant prostate cancer: a multicenter retrospective study.,2025 Jul 8,,,
40624380,Establishment and characterization of preclinical model of primary ovarian squamous cell carcinoma.,2025 Jul 7,,,
40624315,Head and neck tumor organoid grown under simplified media conditions model tumor biology and chemoradiation responses.,2025 Jul 7,Hebestreit H; Gomez ED,"Division of Otolaryngology/Head and Neck Surgery, Beth Israel Deaconess Medical Center, Boston, MA, 02215, USA.; Pancreatic Cancer Center, Henry Ford Health, Detroit, MI, 48202, USA.",
40624308,The Landmark Series: Neoadjuvant Therapy for Resectable Pancreatic Cancer.,2025 Jul 7,,,
40624293,Survival profiles and associated factors for overall and cancer specific survival in patients with chondroblast and fibroblastic osteosarcoma.,2025 Jul 7,,,
40624238,IL-17A-secreting gammadelta T cells promote resistance to CDK4/CDK6 inhibitors in HR(+)HER2(-) breast cancer via CX3CR1(+) macrophages.,2025 Jul 7,Chen HH; Buque A; Massa C; Wickenhauser C; Navarro Manzano E; Satty AM; Rippon B; Finotello F; Trajanoski Z; Zhou XK; Scandura JM; Sanchez-Margalet V; de la Cruz-Merino L; Basho RK; McArthur HL; Formenti SC; Galluzzi L,"Department of Biomedical Sciences, Cedars-Sinai Medical Center, Los Angeles, CA, USA.; Department of Biomedical Sciences, Cedars-Sinai Medical Center, Los Angeles, CA, USA.; Department of Medical Biochemistry, Molecular Biology and Immunology, Faculty of Medicine, Universidad de Sevilla, Sevilla, Spain.; Department of Biomedical Sciences, Cedars-Sinai Medical Center, Los Angeles, CA, USA.; Department of Anatomy, Physiology and Pathology, Clinica Universidad de Navarra, Pamplona, Spain.; Department of Radiation Oncology, Clinica Universidad de Navarra, Pamplona, Spain.; Department of Immunology and Immunotherapy, Clinica Universidad de Navarra, Pamplona, Spain.; Centro Regional de Hemodonacion, Murcia, Spain.; Instituto Murciano de Investigacion Biosanitaria (IMIB-Arrixaca), Murcia, Spain.; Department of Medicine, Weill Cornell Medicine, New York, NY, USA.; Department of Population Health Sciences, Weill Cornell Medicine, New York, NY, USA.; Department of Population Health Sciences, Weill Cornell Medicine, New York, NY, USA.; Department of Medicine, Weill Cornell Medicine, New York, NY, USA.; Instituto Murciano de Investigacion Biosanitaria (IMIB-Arrixaca), Murcia, Spain.; Universidad Catolica San Antonio de Murcia, Guadalupe, Spain.; Instituto Murciano de Investigacion Biosanitaria (IMIB-Arrixaca), Murcia, Spain.; Universidad de Murcia, Murcia, Spain.",
40624206,"Lovastatin inhibits adipocyte-associated increased proliferation, EMT and aggressiveness of breast cancer cells.",2025 Jul 7,,,
40624183,Proteome changes associated with effect of high dose single-fractionation radiation on lung adenocarcinoma cell lines.,2025 Jul 7,Lust H,"Celvia CC AS, Tartu, Estonia.",
40624169,Toripalimab in Esophageal Cancer: A Systematic Review and Meta-Analysis.,2025 Jul 7,,,
40624157,"Exceptional response to the ATR inhibitor, camonsertib, in a patient with ALT+ metastatic melanoma.",2025 Jul 7,Meng C; Schonhoft JD; Zimmermann M; Ulanet D; Kim H; Torrado C; Salguero C; Yap TA,"Repare Therapeutics, Cambridge, MA, USA.; Repare Therapeutics, Cambridge, MA, USA.; Repare Therapeutics, Cambridge, MA, USA.; Repare Therapeutics, Cambridge, MA, USA.; Repare Therapeutics, St-Laurent, QC, Canada.; Repare Therapeutics, Cambridge, MA, USA.; Repare Therapeutics, St-Laurent, QC, Canada.; Repare Therapeutics, Cambridge, MA, USA.",
40624089,Survival outcomes among patients with breast cancer and leptomeningeal disease.,2025 Jul 7,Id Said B; Chen H; Moravan V; Warner E; Myrehaug S; Tseng CL; Detsky J; Dinakaran D; Heyn C; Sahgal A; Soliman H,"Department of Radiation Oncology, Odette Cancer Centre, Sunnybrook Health Science Centre, 2075 Bayview Ave., T2 181, Toronto, ON, M4N 3M5, Canada.; Department of Medical Oncology, Odette Cancer Centre, Sunnybrook Health Science Centre, Toronto, ON, Canada.; Department of Radiation Oncology, Odette Cancer Centre, Sunnybrook Health Science Centre, 2075 Bayview Ave., T2 181, Toronto, ON, M4N 3M5, Canada.; Applied Statistician, VM Stats, Toronto, ON, Canada.; Department of Medical Oncology, Odette Cancer Centre, Sunnybrook Health Science Centre, Toronto, ON, Canada.; Department of Radiation Oncology, Odette Cancer Centre, Sunnybrook Health Science Centre, 2075 Bayview Ave., T2 181, Toronto, ON, M4N 3M5, Canada.; Department of Radiation Oncology, Odette Cancer Centre, Sunnybrook Health Science Centre, 2075 Bayview Ave., T2 181, Toronto, ON, M4N 3M5, Canada.; Department of Radiation Oncology, Odette Cancer Centre, Sunnybrook Health Science Centre, 2075 Bayview Ave., T2 181, Toronto, ON, M4N 3M5, Canada.; Department of Radiation Oncology, Odette Cancer Centre, Sunnybrook Health Science Centre, 2075 Bayview Ave., T2 181, Toronto, ON, M4N 3M5, Canada.; Department of Medical Imaging, Odette Cancer Centre, Sunnybrook Health Science Centre, Toronto, ON, Canada.; Department of Radiation Oncology, Odette Cancer Centre, Sunnybrook Health Science Centre, 2075 Bayview Ave., T2 181, Toronto, ON, M4N 3M5, Canada.",
40624082,Targeting dysregulated molecular pathways in cancer cell lines using small molecule inhibitors as a promising therapeutic strategy.,2025 Jul 7,,,
40624079,A qualitative study of family caregivers' experiences in caring for breast cancer patients.,2025 Jul 7,,,
40624063,"Development, verification, and comparison of a risk stratification model to identify potential population benefiting from chemotherapy in non-metastatic male breast cancer.",2025 Jul 7,,,
40624019,NR4A3 potentials M1-like macrophage polarization to facilitate anti-tumor immune responses in breast cancer.,2025 Jul 7,,,
40624003,Single-cell transcriptomic profiling of immune landscape in triple-negative breast cancer during neoadjuvant chemotherapy.,2025 Jul 7,,,
40623999,YY1 enhances HIF-1alpha stability in tumor-associated macrophages to suppress anti-tumor immunity of prostate cancer in mice.,2025 Jul 7,,,
40623982,Huaier suppresses lung cancer by simultaneously and independently inhibiting the antioxidant pathway SLC7A11/GPX4 while enhancing ferritinophagy.,2025 Jul 7,,,
40623967,JAK2 inhibition mediates clonal selection of RAS pathway mutations in myeloproliferative neoplasms.,2025 Jul 8,Kaci N; Roux B; Alexe G; Pasquer H; Verger E; De Oliveira RD; Mlayah B; Gauthier N; Gonzales F; Zhao LP; Ganesan S; Ling F; Soret-Dulphy J; Parquet N; Vainchenker W; Raffoux E; Padua RA; Giraudier S; Marty C; Plo I; Stegmaier K; Puissant A; Kiladjian JJ; Cassinat B,"INSERM UMR 1131, Institut de Recherche Saint-Louis, Paris, France.; INSERM UMR 944, Institut de Recherche Saint-Louis, Paris, France.; INSERM UMR 944, Institut de Recherche Saint-Louis, Paris, France.; INSERM UMR 944, Institut de Recherche Saint-Louis, Paris, France.; INSERM UMR 944, Institut de Recherche Saint-Louis, Paris, France.; Universite Paris Cite, APHP, Hopital Saint-Louis, Centre d'Investigations Cliniques, INSERM, CIC 1427, Paris, France.; INSERM UMR 1131, Institut de Recherche Saint-Louis, Paris, France.; Universite Paris Cite, APHP, Hopital Saint-Louis, Centre d'Investigations Cliniques, INSERM, CIC 1427, Paris, France.; INSERM UMR 944, Institut de Recherche Saint-Louis, Paris, France.; INSERM UMR 1131, Institut de Recherche Saint-Louis, Paris, France.; Universite Paris Cite, APHP, Hopital Saint-Louis, Centre d'Investigations Cliniques, INSERM, CIC 1427, Paris, France.; Universite Paris Cite, APHP, Hopital Saint-Louis, Departement d'hematologie et d'Immunologie, Paris, France.; INSERM UMR 1131, Institut de Recherche Saint-Louis, Paris, France.; INSERM UMR 1131, Institut de Recherche Saint-Louis, Paris, France.; INSERM UMR 944, Institut de Recherche Saint-Louis, Paris, France.; Universite Paris Cite, APHP, Hopital Saint-Louis, Centre d'Investigations Cliniques, INSERM, CIC 1427, Paris, France.; Universite Paris Cite, APHP, Hopital Saint-Louis, Departement d'hematologie et d'Immunologie, Paris, France.; Universite Paris Cite, APHP, Hopital Saint-Louis, Departement d'hematologie et d'Immunologie, Paris, France.; Universite Paris Cite, APHP, Hopital Saint-Louis, Departement d'hematologie et d'Immunologie, Paris, France.; INSERM UMR 1131, Institut de Recherche Saint-Louis, Paris, France.; INSERM UMR 1131, Institut de Recherche Saint-Louis, Paris, France.; INSERM UMR 1287, Gustave Roussy, Universite Paris-Saclay, Villejuif, France.; INSERM UMR 1287, Gustave Roussy, Universite Paris-Saclay, Villejuif, France.; INSERM UMR 944, Institut de Recherche Saint-Louis, Paris, France.",
