PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40619375,Prehospital respiratory interventions during six waves of COVID-19: results from Israel's Emergency Medical Services system.,2025 Jul 6,Alpert EA; Lipsky AM; Jaffe E,"Community Division, Magen David Adom, Or Yehuda, Israel. maximilian.nerlander@liu.se.; Department of Emergency Medicine, Hadassah Medical Center, Ein Kerem, Jerusalem, Israel.; Community Division, Magen David Adom, Or Yehuda, Israel.",
40618623,"Humoral, T cell and immune gene expression responses to SARS-CoV-2 vaccination in a small group of children with previous MIS-C.",2025 Jul 5,,,
40618408,"Analysing Adverse Event Databases: Principles, Challenges, and Examples.",2025 Aug,,,
40617765,The hypercoagulable state in COVID-19 and implications for free flap surgery in the lower limb: A retrospective multi-centre study.,2025 Jun 24,Stark D; Hendrickson S,"North Bristol NHS Trust, Bristol, United Kingdom. Electronic address: David.stark1@nhs.net.; North Bristol NHS Trust, Bristol, United Kingdom.",
40617588,Adaptive immune responses to SARS-CoV-2 in DMARD-treated patients with chronic inflammatory rheumatisms.,2025 Jul 5,Beretta M; Fogel O; Planchais C; Bruneau T; Goncalves P; Avouac J; Berenbaum F; Sellam J; Fautrel B; Morel J; Parfait B; Di Santo JP; Behillil S; van der Werf S; Pere H; Mouquet H; Miceli-Richard C,"Humoral Immunology Unit - INSERM U1222, Institut Pasteur and Universtity Paris Cite, Paris, France.; Department of Rheumatology, Hopital Cochin - Assistance Publique Hopitaux de Paris - Universite Paris Cite, Paris, France.; Humoral Immunology Unit - INSERM U1222, Institut Pasteur and Universtity Paris Cite, Paris, France.; Service de Microbiologie (Unite de virologie), Hopital Europeen Georges Pompidou, Paris, France.; Inserm U1223, Innate Immunity Unit, Institut Pasteur, Paris, France.; Department of Rheumatology, Hopital Cochin - Assistance Publique Hopitaux de Paris - Universite Paris Cite, Paris, France.; Faculty of Medicine Pierre & Marie Curie Paris VI, Hopital Saint-Antoine, Paris, France.; Faculty of Medicine Pierre & Marie Curie Paris VI, Hopital Saint-Antoine, Paris, France.; Department of Rheumatology, Hopital Cochin - Assistance Publique Hopitaux de Paris - Universite Paris Cite, Paris, France.; Immunorhumatologie, CHU Lapeyronie, Montpellier, France.; Centre de Ressources Biologique - Hopital Cochin - Federation des Centres de Ressources Biologiques-, Assistance Publique Hopitaux de Paris - Universite Paris Cite, Paris, France.; Inserm U1223, Innate Immunity Unit, Institut Pasteur, Paris, France.; UMR 3569 CNRS, Molecular Genetics of RNA Viruses, National Reference Center Respiratory Viruses, Institut Pasteur, Paris, France.; UMR 3569 CNRS, Molecular Genetics of RNA Viruses, National Reference Center Respiratory Viruses, Institut Pasteur, Paris, France.; Service de Microbiologie (Unite de virologie), Hopital Europeen Georges Pompidou, Paris, France.; Humoral Immunology Unit - INSERM U1222, Institut Pasteur and Universtity Paris Cite, Paris, France.; Immunoregulation Unit, Institut Pasteur, Paris, France corinne.miceli@aphp.fr.",
40617558,The effect of COVID-19 vaccination on menstrual cycles of adolescents and young adults: a systematic review and meta-analysis.,2025 Jul 3,,,
40617534,Scalable approach for Coronavirus-like particles making based on the Spike protein using Sf9 cells.,2025 Jul 3,Coelho de Oliveira H,"Eppendorf do Brasil Ltda. Rua Presidente Antonio Candido, 80, CEP 05083-060, Sao Paulo, SP-Brazil.",
40617406,Erythema Papulatum Centrifugum: A Clinically Distinct Dermatosis. CLINI-AEDV Case Series.,2025 Jul 3,Ballester-Nortes I; Fernandez-Tapia V; Parera-Amer ME,"Servicio de Dermatologia. H.U. Morales Meseguer, Murcia, Spain.; Servicio de Dermatologia. H.U. Son Llatzer, Palma, Spain.; Servicio de Dermatologia. H.U. Son Llatzer, Palma, Spain.",
40617090,Duration of protection from severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) after primary homologous vaccination or first infection.,2025 Jul 4,,,
40617089,Lessons learnt during establishment of COVID-19 active vaccine safety surveillance in nine African countries.,2025 Jul 4,Ansah NA; Obaro S; Jambo K; Sow S; Kagucia EW; Chicumbe S; Dlamini T; Browne M; Clothier H; Griffin J; Jiang Y; Lee A; Ghebreab L; Black SB,"Navrongo Health Research Centre, Navrongo, Ghana. Electronic address: nana.ansah@navrongo-hrc.org.; International Foundation Against Infectious Disease (IFAIN), Abuja, Nigeria. Electronic address: stephenson255@gmail.com.; Malawi-Liverpool-Wellcome Trust Clinical Research Programme, Malawi. Electronic address: kjambo@mlw.mw.; Centre for Vaccine Development (CVD), Mali, Bamako. Electronic address: ssow@cvd-mali.org.; KEMRI-Wellcome Trust Research Programme, Kilifi, Kenya. Electronic address: EKagucia@kemri-wellcome.org.; Instituto Nacional de Saude, Mozambique. Electronic address: sergio.chicumbe@ins.gov.mz.; National Immunization Programme, Eswatini.; Global Vaccine Data Network, Auckland, New Zealand. Electronic address: m.browne@auckland.ac.nz.; Global Vaccine Data Network, Auckland, New Zealand. Electronic address: hazel.clothier@mcri.edu.au.; Global Vaccine Data Network, Auckland, New Zealand. Electronic address: jennifer.griffin@auckland.ac.nz.; Global Vaccine Data Network, Auckland, New Zealand. Electronic address: y.jiang@auckland.ac.nz.; Global Vaccine Data Network, Auckland, New Zealand. Electronic address: arier.lee@auckland.ac.nz.; Global Vaccine Data Network, Auckland, New Zealand. Electronic address: luam.ghebreab@auckland.ac.nz.; Global Vaccine Data Network, Auckland, New Zealand. Electronic address: stevblack@gmail.com.",
40616520,Discovery of the Clinical Candidate S-892216: A Second-Generation of SARS-CoV-2 3CL Protease Inhibitor for Treating COVID-19.,2025 Jul 5,Unoh Y; Hirai K; Uehara S; Kawashima S; Nobori H; Sato J; Shibayama H; Hori A; Nakahara K; Kurahashi K; Takamatsu M; Yamamoto S; Zhang Q; Tanimura M; Dodo R; Maruyama Y; Kato T; Sato T; Tachibana Y,"Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Global Virus Network, 12901 Bruce B. Downs Blvd. MDC02, Tampa, Florida 33612, United States.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.; Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.",
40615384,Hamsters immunized with formalin-inactivated SARS-CoV-2 develop accelerated lung histopathological lesions and Th2-biased response following infection.,2025 Jul 4,Bewley KR; Hall Y; Salguero FJ,"United Kingdom Health Security Agency (UKHSA), Porton Down, Salisbury, UK.; United Kingdom Health Security Agency (UKHSA), Porton Down, Salisbury, UK.; United Kingdom Health Security Agency (UKHSA), Porton Down, Salisbury, UK.",
40615136,Gender disparities in COVID-19 vaccine hesitancy in high-income countries: an umbrella review protocol.,2025 Jul 3,Noviello C; Palmieri C; Stefanizzi P; Tafuri S,"Department of Biomedical Science and Human Oncology, Universita degli Studi di Bari Aldo Moro, Bari, Italy.; Department of Biomedical Science and Human Oncology, Universita degli Studi di Bari Aldo Moro, Bari, Italy.; Department of Biomedical Science and Human Oncology, Universita degli Studi di Bari Aldo Moro, Bari, Italy.; Department of Biomedical Science and Human Oncology, Universita degli Studi di Bari Aldo Moro, Bari, Italy.",
40614182,Safety and immunogenicity of intranasal parainfluenza virus type 5 (PIV5)-vectored COVID-19 vaccine in adults and teens in an open-label phase 1 trial.,2025 Jul 4,Jin H; Knopp K; Radziewicz H; Tellier M; Li Z; Gingerich MC; Wu S,"CyanVac LLC, 111 Riverbend Rd, Athens, GA 30602, USA.; CyanVac LLC, 111 Riverbend Rd, Athens, GA 30602, USA.; CyanVac LLC, 111 Riverbend Rd, Athens, GA 30602, USA.; CyanVac LLC, 111 Riverbend Rd, Athens, GA 30602, USA.; CyanVac LLC, 111 Riverbend Rd, Athens, GA 30602, USA.; CyanVac LLC, 111 Riverbend Rd, Athens, GA 30602, USA.; CyanVac LLC, 111 Riverbend Rd, Athens, GA 30602, USA.",
40614084,Using Large Language Models to Assess Burnout Among Health Care Workers in the Context of COVID-19 Vaccine Decisions and Health Beliefs: Retrospective Cohort Study.,2025 Jul 4,,,
40613499,A pan-beta-coronavirus vaccine bearing conserved and asymptomatic B- and T-cell epitopes protects against highly pathogenic Delta and highly transmissible Omicron SARS-CoV-2 variants.,2025 Dec,,,
40613498,Hydrophobin-Fused SARS-CoV-2 RBD production in Nicotiana benthamiana L. for COVID-19 serology.,2025 Dec,,,
40613193,[Interaction between COVID-19 Infection and Hematological Malignancies --Review].,2025 Jun,,,
40613099,"COVID-19 knowledge, attitudes and practices in Thabo Mofutsanyana District, South Africa, 2022.",2025,Mayet N,"Gauteng City-Region Observatory, Johannesburg, South Africa.",
40613010,COVID-19 Hospitalization and Mortality Trends Among US Dialysis Patients by Race/Ethnicity and Vaccination Status.,2025 Jul,Shieu MM; Weiner DE; Li NC; Manley HJ; Harford A; Hsu CM; Miskulin D; Johnson D; Lacson EK Jr,"Quality Analytics, Dialysis Clinic Inc., Nashville, TN.; William B. Schwartz Division of Nephrology, Tufts Medical Center, Boston, MA.; Quality Analytics, Dialysis Clinic Inc., Nashville, TN.; Quality Analytics, Dialysis Clinic Inc., Nashville, TN.; Quality Analytics, Dialysis Clinic Inc., Nashville, TN.; William B. Schwartz Division of Nephrology, Tufts Medical Center, Boston, MA.; William B. Schwartz Division of Nephrology, Tufts Medical Center, Boston, MA.; Quality Analytics, Dialysis Clinic Inc., Nashville, TN.; Quality Analytics, Dialysis Clinic Inc., Nashville, TN.",
40612481,Pre-post data from a cogenerational health outreach program within federally qualified health centers: experiences in the encore intergenerational vaccine corps and assessments of different generations and public issues.,2025 Aug,,,
40612208,Myocarditis Following COVID-19 Vaccine: What Did We Learn?,2025 Jan-Dec,,,
40612010,A scoping review of authorisation pathway for COVID-19 vaccines among selected countries.,2025,Suphap S,"Medicines Regulation Division, Thailand Food and Drug Administration, Ministry of Public Health, Nonthaburi, Thailand.",
40611257,Targeting heptad repeats and fusion peptide: nanoparticle vaccine elicits mucosal immune response against SARS-CoV-2 variants.,2025 Jul 3,Li Y; He Y; He X,"Guangdong Provincial Center for Disease Control and Prevention, Guangzhou, 511430, China.; Guangdong Provincial Center for Disease Control and Prevention, Guangzhou, 511430, China.; Guangdong Provincial Center for Disease Control and Prevention, Guangzhou, 511430, China.",
40611132,Role of senescent CD4(+) T cells in breakthrough infection of the new variant strain of SARS-CoV-2 in elderly patients.,2025 Jul 3,,,
40610704,Kikuchi-Fujimoto in the light of the COVID-19: infection and vaccination. A systematic review.,2025 Jul 3,Cahuapaza-Gutierrez NL; Calderon-Hernandez CC; Villavicencio-Escudero TV,"Universidad Cientifica del Sur, Lima, Peru.; CHANGE Research Working Group, Universidad Cientifica del Sur, Lima, Peru.; Research Department, Center of Research and Medical Excellence (CRME), N y C, Lima, Peru.",
40610585,Differential immunity induced by Omicron sublineages in naive and vaccine breakthrough infections.,2025 Jul 3,,,
40609994,Multiepitope mRNA Vaccine mRNA-mEp21-FL-IDT Provides Efficient Protection against M. tuberculosis.,2025 Jun,,,
40609264,Education as a mediator of ethnic disparities in adult COVID-19 vaccination in Peru.,2025 Jul 2,Al-Kassab-Cordova A; Mezones-Holguin E,"Centro de Excelencia en Investigaciones Economicas y Sociales en Salud, Universidad San Ignacio de Loyola, Lima, Peru. Electronic address: aliac1998@gmail.com.; Centro de Excelencia en Investigaciones Economicas y Sociales en Salud, Universidad San Ignacio de Loyola, Lima, Peru; Epignosis Solutions, Piura, Peru.",
40609262,"COVID-19 vaccine uptake and effectiveness among people with recent history of injection drug use in British Columbia, Canada: A retrospective analysis.",2025 Jul 2,Wilton J; Crabtree A,"British Columbia Centre for Disease Control, Vancouver, BC, Canada.; British Columbia Centre for Disease Control, Vancouver, BC, Canada.",
40609232,The COVID-19 vaccination health literacy questionnaire (CVHL-Q): Design and validation according to classic psychometric and Rasch analyses.,2025 Jul 2,,,
40609106,Correspondence on incidence and factors associated with adverse reactions after the first dose of COVID-19 vaccine.,2025,Kleebayoon A,"Consultant Unit, Private Academic Consultant, Samraong, Cambodia.",
40608738,"Uptake, knowledge, attitudes, and practices toward seasonal influenza vaccination among community healthcare workers during the COVID-19 pandemic in Chongqing Municipality, China: A cross-sectional study.",2025,Yang X; Lv X; Wang Q; Wang D; Ding X; Chen T,"Chongqing Municipal Center for Disease Control and Prevention, Chongqing, China.; Chongqing Municipal Center for Disease Control and Prevention, Chongqing, China.; Chongqing Municipal Center for Disease Control and Prevention, Chongqing, China.; Chongqing Municipal Center for Disease Control and Prevention, Chongqing, China.; Chongqing Municipal Center for Disease Control and Prevention, Chongqing, China.; Chongqing Municipal Center for Disease Control and Prevention, Chongqing, China.",
40608708,A survey on the situation and risk factors of secondary infection after the second wave of the Omicron COVID-19 in China.,2025 Jun 30,,,
40608426,MICBG406A polymorphism reduces risk of mechanical ventilation and death during viral acute lung injury.,2025 Jul 3,Alipanah-Lechner N; Langelier CR; Erle DJ; Eckalbar WL; Network I; Calfee CS; Aguilar OA; Greenland JR; Calabrese DR,"Department of Medicine, UCSF, San Francisco, United States of America.; Department of Medicine, UCSF, San Francisco, United States of America.; Department of Medicine, UCSF, San Francisco, United States of America.; Department of Medicine, UCSF, San Francisco, United States of America.; IMPACC Network, Boston, United States of America.; Department of Medicine, UCSF, San Francisco, United States of America.; Department of Microbiology and Immunology, UCSF, San Francisco, United States of America.; Department of Medicine, UCSF, San Francisco, United States of America.; Department of Medicine, UCSF, San Francisco, United States of America.",
40607738,Rebuilding vaccine confidence in Latin America and the Caribbean: strategies for the post-pandemic era.,2025 Dec,Debbag R; Gallo J; Beltran C; Brea-Del Castillo J; Puentes A; Enrique S,"Latin-American Vaccinology Society, SLV, Buenos Aires, Argentina.; Immunizations Committee, Latin American Society of Pediatric Infectious Diseases, SLIPE, Buenos Aires, Argentina.; Latin American Society of Pediatric Infectious Diseases, SLIPE, San Jose, Costa Rica.; Latin American Vaccinology Society, SLV, San Jose, Costa Rica.; Pediatric Infectious Diseases Committee, Pediatric Society of Colombia (SPC), Medellin, Colombia.; Latin American Society of Pediatric Infectious Diseases, SLIPE, Medellin, Colombia.",
40607311,Vaccine hesitancy in an allergy and immunology clinic in an underserved community.,2025 Aug,Silverberg N; Bao H,"Maimonides Medical Center, Brooklyn, NY.; Maimonides Medical Center, Brooklyn, NY.",
40607264,[Vaccination coverage against COVID-19 in healthcare workers and associated factors in the city of Yaounde in July 2022].,2025,Koingakiawa SOB; Nzougouat JL; Edzoa BE; Tonga C,"Ecole des Sciences de Sante, Universite Catholique d'Afrique Centrale, Yaounde, Cameroun.; Institut de Formation et de Recherche Demographique, Yaounde, Cameroun.; Delegation Regionale de la Sante Publique du Centre, Yaounde, Cameroun.; Programme Elargi de Vaccination, Ministere de la Sante Publique, Yaounde, Cameroun.",
40607207,"RECOVID: Retrospective Observational Study of Renal Outcomes and Long-Term Mortality in Patients With COVID-19-Associated AKI, A Comparison Between Vaccinated and Unvaccinated Patients.",2025 Jul,,,
40604541,"Epidemiological trends of hand, foot, and mouth disease in children under age 10, Jiangning District, Jiangsu, China (2009-2023).",2025 Jul 2,Wu B; Fu M,"The Jiangning District Center for Disease Control and Prevention, Nanjing, China.; The Jiangning District Center for Disease Control and Prevention, Nanjing, China.",
40604011,Age associated SARS-CoV-2 immune responses provide insights into population immunity over four years since the COVID-19 pandemic.,2025 Jul 2,Duangchinda T; Nilyanimit P,"Molecular Biology of Dengue and Flaviviruses Research Team, National Center for Genetic Engineering and Biotechnology (BIOTEC), National Science and Development Agency, NSTDA, Pathum Thani, 12120, Thailand.; Molecular Biology of Dengue and Flaviviruses Research Team, National Center for Genetic Engineering and Biotechnology (BIOTEC), National Science and Development Agency, NSTDA, Pathum Thani, 12120, Thailand.",
40603330,"Induction of lung mucosal immunity by a next-generation inhaled aerosol COVID-19 vaccine: an open-label, multi-arm phase 1 clinical trial.",2025 Jul 2,,,
40603140,"Impact of pharmacist-led interventions on COVID-19, herpes zoster, influenza, pneumococcal, and respiratory syncytial virus vaccines uptake in people aged 60 years and older: Systematic review and meta-analysis.",2025 Jul 1,,,
40602456,Chaperone Activity of SARS-CoV-2 Nucleocapsid Protein: RNA Annealing and Destabilization Mechanisms.,2025 Jun 30,,,
40602369,"Severe Acute Respiratory Syndrome Coronavirus 2 Seroprevalence and Coronavirus Disease 2019 Vaccination Trends: Findings from Surveillance Conducted at First Antenatal Care Visits in Kenya, Nigeria, Malawi, Mozambique, Uganda, and Zambia, 2021-2022.",2025 Jul 1,Seffren V; Yadav R; Iriemenam NC; Ajayi O; Ogunsola O; Mulube C; Ogollah F; Rogier E; Gutman JR,"Malaria Branch, Division of Parasitic Diseases and Malaria, National Center for Emerging and Zoonotic Infectious Diseases, U.S. Centers for Disease Control and Prevention, Atlanta, Georgia.; Malaria Branch, Division of Parasitic Diseases and Malaria, National Center for Emerging and Zoonotic Infectious Diseases, U.S. Centers for Disease Control and Prevention, Atlanta, Georgia.; CDC Nigeria, Division of Global HIV and TB, U.S. Centers for Disease Control and Prevention, Abuja, Nigeria.; APIN Public Health Initiatives, Nigeria, Abuja, Nigeria.; APIN Public Health Initiatives, Nigeria, Abuja, Nigeria.; PATH, Lusaka, Zambia.; ICAP Malawi, Lilongwe, Malawi.; Malaria Branch, Division of Parasitic Diseases and Malaria, National Center for Emerging and Zoonotic Infectious Diseases, U.S. Centers for Disease Control and Prevention, Atlanta, Georgia.; Malaria Branch, Division of Parasitic Diseases and Malaria, National Center for Emerging and Zoonotic Infectious Diseases, U.S. Centers for Disease Control and Prevention, Atlanta, Georgia.",
40602349,Accomplishments and challenges in developing improved influenza vaccines: An evaluation of three years of progress toward the milestones of the influenza vaccines research and development roadmap.,2025 Jul 1,Ostrowsky JT; Vestin NC; Mehr AJ; Ulrich AK; Bigalke L; Bresee JS; Friede MH; Klugman KP; Nakakana UN; Wang TY; Weller CL; Osterholm MT; Lackritz EM; Moore KA,"Center for Infectious Disease Research and Policy, C315 Mayo Memorial Building, MMC 263, 420 Delaware Street, SE, Minneapolis, MN 55455. 612-626-6770, United States of America. Electronic address: jto@umn.edu.; Center for Infectious Disease Research and Policy, C315 Mayo Memorial Building, MMC 263, 420 Delaware Street, SE, Minneapolis, MN 55455. 612-626-6770, United States of America.; Center for Infectious Disease Research and Policy, C315 Mayo Memorial Building, MMC 263, 420 Delaware Street, SE, Minneapolis, MN 55455. 612-626-6770, United States of America.; Center for Infectious Disease Research and Policy, C315 Mayo Memorial Building, MMC 263, 420 Delaware Street, SE, Minneapolis, MN 55455. 612-626-6770, United States of America.; Center for Infectious Disease Research and Policy, C315 Mayo Memorial Building, MMC 263, 420 Delaware Street, SE, Minneapolis, MN 55455. 612-626-6770, United States of America.; The Task Force for Global Health, Atlanta, GA, USA.; World Health Organization, Geneva, Switzerland.; The Gates Foundation, Seattle, Washington, USA.; The Gates Foundation, Seattle, Washington, USA.; Wellcome Trust, London, United Kingdom.; Wellcome Trust, London, United Kingdom.; Center for Infectious Disease Research and Policy, C315 Mayo Memorial Building, MMC 263, 420 Delaware Street, SE, Minneapolis, MN 55455. 612-626-6770, United States of America.; Center for Infectious Disease Research and Policy, C315 Mayo Memorial Building, MMC 263, 420 Delaware Street, SE, Minneapolis, MN 55455. 612-626-6770, United States of America.; Center for Infectious Disease Research and Policy, C315 Mayo Memorial Building, MMC 263, 420 Delaware Street, SE, Minneapolis, MN 55455. 612-626-6770, United States of America. Electronic address: kamoore@umn.edu.",
40602344,"COVID-19 vaccine uptake in a retrospective population-based cohort of people living with and without HIV in Ontario, Canada.",2025 Jul 1,Habanyama M; McCullagh J; Moqueet N; Nambiar D,"CIHR Canadian HIV Trials Network, 1081 Burrard Street Vancouver, BC V6Z 1Y6, Canada; Ontario AIDS Network, 110 Yonge Street, Suite 401, Toronto, ON M5C 1T4, Canada.; HQ Health Hub, 790 Bay Street, Suite 820, P.O. Box 66, Toronto, ON M5G 1N8, Canada.; Public Health Agency of Canada, Old City, 785 Carling Avenue, Ottawa, ON K1A 0K9, Canada.; Gay Men's Sexual Health Alliance, 401-110 Yonge Street, Toronto, ON M5C 1T4, Canada. Electronic address: dnambiar@gmsh.ca.",
40602343,"Parental reasons for non-receipt of influenza vaccination among children 6 months-17 years and changes over time, 2015-2024.",2025 Jul 1,Kahn KE; Santibanez TA; Jain A; Zhou T; Black CL,"Eagle Health Analytics, 5835 Peachtree Corners East, Suite B, Peachtree Corners, GA 30092, USA; National Center for Immunization and Respiratory Diseases (NCIRD), Centers for Disease Control and Prevention (CDC), 1600 Clifton Road NE, Atlanta, GA 30329, USA. Electronic address: xdo9@cdc.gov.; National Center for Immunization and Respiratory Diseases (NCIRD), Centers for Disease Control and Prevention (CDC), 1600 Clifton Road NE, Atlanta, GA 30329, USA.; Eagle Health Analytics, 5835 Peachtree Corners East, Suite B, Peachtree Corners, GA 30092, USA; National Center for Immunization and Respiratory Diseases (NCIRD), Centers for Disease Control and Prevention (CDC), 1600 Clifton Road NE, Atlanta, GA 30329, USA.; Eagle Health Analytics, 5835 Peachtree Corners East, Suite B, Peachtree Corners, GA 30092, USA; National Center for Immunization and Respiratory Diseases (NCIRD), Centers for Disease Control and Prevention (CDC), 1600 Clifton Road NE, Atlanta, GA 30329, USA.; National Center for Immunization and Respiratory Diseases (NCIRD), Centers for Disease Control and Prevention (CDC), 1600 Clifton Road NE, Atlanta, GA 30329, USA.",
40601320,Hurdles for the Delivery of Multinational Randomized Clinical Trials.,2025 Jul 1,Mouncey P; Harrison D; Derde L; Hays LM; Nichol A; Torre-Cisneros J,"Intensive Care National Audit and Research Centre, London, United Kingdom.; Intensive Care National Audit and Research Centre, London, United Kingdom.; European Clinical Research Alliance on Infectious Diseases, Utrecht, the Netherlands.; Centre d'Etude des Pathologies Respiratoires, INSERM U1100, Tours, France.; European Clinical Research Alliance on Infectious Diseases (Ecraid), Utrecht, the Netherlands.; European Clinical Research Alliance on Infectious Diseases (Ecraid), Utrecht, the Netherlands.",
